accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs002633.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Transforming Community Engagement to Increase SARS-CoV-2 Testing in    Underserved Populations in Baton Rouge (TEST UP-BR)","In the US, COVID-19 has unveiled a disproportionate health burden in low income and underserved segments of society. In Louisiana, some of the greatest health and economic consequences are evident   inform the equitable deployment of future virus/flu testing and a SARS-CoV-2 vaccine. Note for data in RADx: Instructions for requesting individual-level","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002760.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COVID Self-Testing Through Rapid Network Distribution (C-STRAND)","COVID-19, the disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has led to a global pandemic and has exacerbated existing health inequities among vulnerable populations. Despite higher rates   to inform its future modifications, implementation, and scale-up (Aim 3). We will engage our relationship with community partners to reach underserved","Not Applicable","COVID-19","Clinical Trial","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002581.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Adapting Community-Based Task-Shifting for the COVID-19 Response Among    Underserved Populations in Piedmont, North Carolina (ACT UP)","In North Carolina and nationally, Black and Hispanic/Latinx communities have been disproportionately affected by COVID-19 due to multi-level risk factors and barriers to testing, prevention, and care, but have not   pandemic response efforts and delivery of COVID-19 vaccines and other prevention interventions. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002868.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Obesity Health Disparities Research Center (OHDRC) COVID-19 Testing    Model Among Vulnerable Populations From Community Engagement to    Follow-Up","The overall goal of the Obesity Health Disparities Research Center (OHDRC) COVID-19 Testing Model of Vulnerable Populations: From Community Engagement to Follow-Up is to implement a three-component mobile community-based testing   testing and follow-up among vulnerable populations, and consequently, attenuate the current stark disparities in COVID-19 outcomes. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002743.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Addressing Low-Income Housing Resident Mistrust in COVID-19 Guidance","The purpose of this project is to study how perceived legitimacy of important institutions and mistrust in sources of COVID-19 information affect compliance with public health guidance designed to mitigate   their needs. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home","Not Applicable","COVID-19","Control Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002878.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Communities Fighting COVID!: Returning Our Kids Back to School Safely","Data for this study come from the Communities Fighting COVID!: Returning Our Kids Back to School Safely study, which is part of the National Institutes of Health RADx-UP Initiative, was   invaluable contributions of the Sweetwater Union High School District, project staff, community members, and study participants. Note for data in RADx","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003050.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Improving Testing for COVID-19 in Skilled Nursing Facilities: IMPACT","Purpose: To assess beliefs, attitudes and intentions of skilled nursing facility staff, residents and family members concerning COVID-19 testing and vaccination, via survey and using mixed methods. Design and Methods:  ) workers and families. The surveys were distributed in over 50 SNFs across the U.S., with results from 4838 respondents compiled. Note for data in RADx","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002776.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Getting Asian Americans INFORMED To Facilitate COVID-19 Testing and    Vaccination","Getting Asian Americans informed to facilitate COVID-19 testing and vaccinations is a timely project to identify and address sociocultural, ethical and behavioral barriers, and to enable Asian Americans to make   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002904.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    ReSET: Restarting Safe Education and Testing for Children with Medical    Complexity","Our objective is to increase safe return to school for CMC (children with medical complexity) and school personnel through 3 complementary approaches. Aim 1 proposes to determine the feasibility of   for CMC. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002825.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    SCALE UP COUNTS: A Health Information Technology Approach to    Increasing COVID-19 Testing in Elementary and Middle Schools and    Serving Disadvantaged Communities","Racial/ethnic minority and low socioeconomic status (SES) populations suffer profound health inequities across a wide variety of conditions as well as a disproportionate burden of the negative health consequences of   an existing RADx-UP grant (UL1TR002538-03S4), our team developed a text messaging and health navigator infrastructure that is now deployed in federally","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002526.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's    Vulnerable Populations","The long-term goal of this proposal is to eliminate COVID-19 deiparities among Hawaii's racial/ethnically diverse yet vulnerable populations including Native Hawaiian and other Pacific Islanders (NHPI) living in rural and  "" grant, this project leverages our existing Community Engagement, Biostatistics, and Administrative Cores with NHPI partnerships to augment the RADx-UP","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002644.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Randomized COVID-19 Testing in Vulnerable Communities and Risk Tool    Creation (FightCOVIDMKE)","Fight COVID MKE will use randomized COVID antibody testing in Milwaukee County, Wisconsin to measure the population proportion infected and how this proportion varies over time and with patient demographic   individual risk and advise high-risk individuals on risk mitigation as well as vaccination. Note for data in RADx: Instructions for requesting individual-level","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002656.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Eliminating COVID-19 Disparities in Arizona in Partnership with    Vulnerable/Underserved Communities","Arizona has one of the highest COVID-19 positivity test rates (approximately 19%) in the U.S. Positivity rates are disproportionately higher among Arizona's Latinx, American Indian, and African American communities. The   testing positive, and (f) sustain the intervention during a follow-up period. Equality Health Foundation serves as the lead community partner and convener","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002791.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Organizations to Reduce, Advance, and Lead for Equity (ORALE) Against    COVID-19","The COVID-19 pandemic has disproportionately affected the already underserved Latinx communities. The overall goal of the proposed testing research project is to decrease disparities in the morbidity and mortality patterns   Diagnostics - Underserved Populations (RADx-UP) Coordination and Data Collection Center (CDCC), to the broad public, and to policy-makers. Experience and","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003021.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community Organizations for Natives: COVID-19 Epidemiology, Research,    Testing, and Services (CONCERTS)","As the COVID-19 pandemic spreads to every corner of the US, the plight of urban American Indian/Alaska Native (AI/AN) people is often overlooked or ignored. SARS-CoV-2 and the disease it  , pragmatic practices for future pandemics and vaccination programs. Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003033.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Social and Behavioral Implications for COVID-19 Testing in Delaware's    Underserved Communities","The focus of this project is to triangulate data from semi-structured surveys, serological testing, and census tract-linked public health and economic data to better understand social and behavioral factors related   the RADx CDCC. The survey collects detailed information on participants' medical history and current health, family structure, and living conditions","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002521.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Creating a Sustainable Infrastructure for SARS-CoV-2 Testing at    Syringe Exchange Programs","This study leverages a current partnership with HIV Alliance - an Oregon-based nonprofit dedicated to supporting individuals living with HIV/AIDS and preventing new HIV infections - to embed a COVID-19   RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in dbGaP","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002645.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Alive Church Network: Increasing COVID-19 Testing in Chicago's African    American Testing Deserts","The epidemic of novel coronavirus disease 2019 (COVID-19) has caused an unprecedented public health crisis in the United States. African Americans (AA) have been disproportionately impacted, as systemic inequities have   intervention to increase testing uptake in other vulnerable urban areas in Chicago and nationally. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002651.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community-Engaged Research on COVID-19 Testing Among Underserved    and/or Vulnerable Populations","The SARS-CoV-2 virus, responsible for the COVID-19 pandemic, has caused disastrous and unprecedented public health and economic consequences in the U.S., seriously affecting Americans' physical and mental health. Death rates   testing, follow-up care, feasibility of effective self-isolation if positive, and perceived effectiveness of testing and vaccination, (b) assessment of the","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002713.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Using Health Communication to Increase COVID-19 Testing and    Vaccination in Underserved Populations","Many low-income Americans, racial and ethnic minorities, and other marginalized groups live in information-poor environments, disproportionately exposed to misinformation about COVID-19, and distrusting medical, government, and scientific institutions and leaders.   must inform communication efforts, and the infrastructure of 2-1-1 is well suited to support rapid testing of promising approaches. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002870.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    SARS-CoV-2 Screening and Diagnostic Testing for Return to K-12 Schools","By leveraging the infrastructure and community partnerships formed through the ABC Science Collaborative, this project will assess the effectiveness of rapid surveillance testing in reducing within-school transmission and restoring trust   after SARS-CoV-2 exposure. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002871.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP): A    Dynamic COVID-19 Community-Engaged Testing Strategy in Alabama (COVID    COMET AL)","This study seeks to understand the factors associated with COVID-19 morbidity and mortality disparities and to lay the foundation to reduce disparities for those underserved and vulnerable populations that are   Alabama. The objective of the study is to evaluate the implementation of a rapid scale-up SARS-CoV-2 testing strategy. The original goal of the study was to","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002873.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    The Cherokee Nation Community-Driven Program for Testing and Contact    Tracing (Cherokee PROTECT)","The Cherokee Nation Community-Driven Program for Testing and Contact Tracing (Cherokee PROTECT) unites tribal, academic, and community partners under the leadership of the Cherokee Nation (CN) to solve a dire   evaluation to ensure quality improvement and sustainability. Note for data in RADx: Instructions for requesting individual-level data are available on RADx","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002905.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Safety, Testing/Transmission, and Outcomes in Pregnancies with    COVID-19 (STOP COVID-19)","Pregnant women are a vulnerable and high-risk population, as COVID-19 is associated with an increased risk of preterm birth, cesarean section, and maternal intensive care. The objectives of this study   pregnancy. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003030.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    REACH-OUT: Research, Engagement and Action on COVID-19 Health Outcomes    via Testing","As the coronavirus disease 2019 (COVID-19) pandemic evolves, equitable access to SARS-CoV testing and contact tracing will be critical to ongoing pandemic surveillance. Even as COVID-19 infection rates, hospitalizations, and   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003126.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Conducting Correctional COVID Research and Implementing Novel,    Ethically Sound, Sustainable Surveillance Systems (CRAINES)","Throughout the COVID19 pandemic in the U.S., persons in jails have borne a share of disease 3-fold or greater than that seen in the general population. While many cases have   and policy makers about the ethics and process of collaboration in implementation. Note for data in RADx: Instructions for requesting individual-level","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
"phs002601.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community Network-Driven COVID-19 Testing of Vulnerable Populations in    the Central US (C3)","Community network-driven COVID-19 testing of vulnerable populations in the Central US (C3) will implement and evaluate a COVID-19 testing approach that combines an evidence-based Social Network Testing Strategy (SNS) with  . C3 is ""shovel-ready"" for implementation in the short time frame of the RADx-UP mechanism,with significant institutional commitments and community","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002647.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Supporting COVID-19 Prevention and Testing for Marginalized and    Minoritized Youth and Young Adults","This project will use a geographically diverse quantitative survey to assess patterns and disparities in COVID-19 testing and preventive behaviors longitudinally across 6 months, as well as survey the impact   rapidly scaled up and widely implemented to address disparities in COVID-19 among YYA and reduce overall transmission. Note for data in RADx: Instructions","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002660.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Juntos (Together): A Community-Led Approach to Enhance COVID-19    Testing Among Vulnerable Latinos","Latinos are among the most heavily impacted communities by the COVID-19 pandemic in the U.S., with rates more than 3 times higher than among non-Hispanic whites. To address this disparity,   services (including clinical follow-up, food delivery, cash assistance, and/or isolation hotel), and referral of contacts for testing, increased","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002704.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Use of Behavioral Economics in Repeat SARS-CoV-2 Antibody Testing in    Disadvantaged Communities","The rapid spread of the SARS-CoV-2 virus has greatly impacted underserved populations. This project aims to understand social and behavioral determinants of COVID-19 testing, and variations within sub-groups of this   increasing uptake of testing or vaccinations among underserved populations. Note for data in RADx: Instructions for requesting individual-level data are","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002740.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Support for Safe Return to In-Person School: COVID-19 Testing,    Learning, and Consultation","The School TLC Study will develop and implement COVID-19 testing approaches in highly disadvantaged public school settings that address barriers to testing and returning to in-person school among vulnerable populations.  , interviews, and staff interviews. Secondary data sources include test enrollment rates and absenteeism rates. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002759.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Assessing Testing Strategies for Safe Return to K-12 Schools in an    Underserved Population","Children with intellectual and developmental disabilities (IDD) are at major risk of irreversible harm from the Coronavirus Infectious Diseases 2019 (COVID-19) pandemic, particularly those from underserved populations. Not only are   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002567.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP): NJ    HEROES TOO: New Jersey Healthcare Essential Worker Outreach and    Education Study Testing Overlooked Occupations","The COVID-19 pandemic disproportionately impacts members of under-represented minority (URM) communities. Unfortunately, URM and other vulnerable communities remain profoundly under-tested. As such, new approaches are needed to disseminate and accomplish   generalizable and sustainable. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002578.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx - UP):    COVID-19 Testing and Linkage to Care with African American Church and    Health Agency Partners","This 2-arm clustered, randomized community trial will test a multi-level, COVID-19 testing and linkage to care (eg, health insurance, medical appointments, community resources, contact tracing) intervention against a non-tailored, attention-control   leaders with culturally-appropriate, easy-to-use tools and health agency partnerships. Note for data in RADx: Instructions for requesting individual-level","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002619.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Improving the Response of Local Urban and Rural Communities to    Disparities in Covid-19 Testing","Local health departments are employing widely varying approaches to address the dramatic health inequities associated with the COVID-19 pandemic. Learning collaboratives have been effective in other settings for bringing entities   identified through national RADx-UP efforts will be continuously considered by the collaborative. Working with the local Action teams, we will conduct a series","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002736.v1.p1","Rapid Acceleration of Diagnostics - TECH (RADx-TECH): Rapid Manufacturing    Scale-up for Compact Point-of-Care EUA SARS-CoV-2 RT-PCR Test","This prospective clinical study seeks to examine the performance of the device, a sample-to-answer nucleic acid PCR amplification platform solution for the point-of-care (POC) detection of SARS-CoV-2, compared to the   data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
